key,ChineseSimplified,Japanese,ChineseTraditional,English
Level,关卡,レベル,關卡,Level
LevelRewardWord1,熟能生巧,良かった,熟能生巧,良かった
LevelRewardWord2,得心应手,いいね,得心應手,いいね
LevelRewardWord3,融会贯通,凄い,融會貫通,凄い
LevelRewardWord4,势不可挡,素晴らしい,勢不可擋,素晴らしい
LevelRewardWord5,登峰造极,最高です,登峰造極,最高です
Japanese,日本語,日本語,日本語,日本語
ChineseSimplified,简体中文,简体中文,簡體中文,簡體中文
ChineseTraditional,繁體中文,繁體中文,繁體中文,繁體中文
English,English,English,English,English
Music,音乐,音楽,音樂,Music
Sounds,音效,音響,音效,Sounds
Vibrate,振动,振動,振動,Vibrate
LanguageSelection,语言选择,言語,語言選擇,Language Selection
Settings,设定,設定,設定,Settings
PrivacyPolicy,隐私政策,プライバシーポリシー,隱私權政策, Privacy policy
TermsAndService,用户协议,利用規約,使用者協定,Terms and service
Victory,挑战成功！,に勝利を得る！,挑戰成功！,に勝利を得る！
CompleteTheLevel,恭喜通关！,レベル完了！,恭喜通關！,Complete！
TipGoldInsufficient,金币不足！,金貨が足りない！,金幣不足！,Not enough gold coins!
TipAllWordPrompted,所有词都已被提示！,すべての単語が提示されました！,所有詞都已被提示！,All words have been prompted!
ButtonGotIt,了解,コレクション,了解,Got it
GuidingTips01,滑动成语,スライド熟語,滑動成語,Sliding idiom
GuidingTips02,做的好！请再拼出成语,よくやった！別の熟語を探してください,做的好！ 請再拼出成語,Well done! Please spell out the idiom
GuidingTips03,点击<color=#D35400>提示道具</color>，将<color=#D35400>提示</color>下一步可滑动的词语。,ヒントツールをクリックすると、次のスライド可能な言葉が<color=#D35400>提示</color>されます。,點擊<color=#D35400>提示道具</color>，將<color=#D35400>提示</color>下一步可滑動的詞語。,Clicking on the <color=#D35400>prompt prop</color> will <color=#D35400>prompt</color> you with the words that can be slid next.
GuidingTips04,点击<color=#D35400>重置道具</color>，将<color=#D35400>重新排列</color>剩余的字块。,<color=#D35400>リセット</color>ツールをクリックすると、残りのブロックを<color=#D35400>並べ替える</color>ことができます。,點擊<color=#D35400>重置道具</color>，將<color=#D35400>重新排列</color>剩餘的字塊。,Clicking on the <color=#D35400>reset prop</color> will <color=#D35400>rearrange</color> the remaining tiles.
Haiku01,水月通禅意，山云寄野情。,古池や蛙飛びこむ 水の音,水月通禪意，山雲寄野情。,古池や蛙飛びこむ 水の音
Haiku02,薄暮空潭曲，安禅制毒龙。,草霞み水に声なき日ぐれ哉,薄暮空潭曲，安禪制毒龍。,草霞み水に声なき日ぐれ哉
Haiku03,看取莲花净，应知不染心。,日盛りに蝶のふれ合ふ音すなり,看取蓮花淨，應知不染心。,日盛りに蝶のふれ合ふ音すなり
Haiku04,溪花与禅意，相对亦忘言。,さびしさや　一尺消えて　ゆくほたる,溪花與禪意，相對亦忘言。,さびしさや　一尺消えて　ゆくほたる
Haiku05,我生本无乡，心安是归处。,行春や鸟啼鱼の目は泪,我生本無鄉，心安是歸處。,行春や鸟啼鱼の目は泪
