图片名,English,简体中文,,,,,,,,,,,,,,,,
12-string,12-string,12弦吉他,,,,,,,,,,,,,,,,
Figure 8,Figure 8,8字结,,,,,,,,,,,,,,,,
A,A,A,,,,,,,,,,,,,,,,
Alt,Alt,Alt键,,,,,,,,,,,,,,,,
Arepa,Arepa,Arepa饼,,,,,,,,,,,,,,,,
Arial,Arial,Arial,,,,,,,,,,,,,,,,
Ace,Ace,A牌,,,,,,,,,,,,,,,,
Calibri,Calibri,Calibri,,,,,,,,,,,,,,,,
Challah,Challah,Challah面包,,,,,,,,,,,,,,,,
Cozmo,Cozmo,Cozmo机器人,,,,,,,,,,,,,,,,
E,E,E,,,,,,,,,,,,,,,,
Enter,Enter,Enter键,,,,,,,,,,,,,,,,
Georgia,Georgia,Georgia,,,,,,,,,,,,,,,,
Kuri,Kuri,Kuri机器人,,,,,,,,,,,,,,,,
LED,LED,LED灯,,,,,,,,,,,,,,,,
Nao,Nao,Nao机器人,,,,,,,,,,,,,,,,
O,O,O,,,,,,,,,,,,,,,,
Oswald,Oswald,Oswald,,,,,,,,,,,,,,,,
Polo,Polo,Polo衫,,,,,,,,,,,,,,,,
Polo,Polo,Polo领,,,,,,,,,,,,,,,,
Roboto,Roboto,Roboto,,,,,,,,,,,,,,,,
Shift,Shift,Shift键,,,,,,,,,,,,,,,,
Tab,Tab,Tab键,,,,,,,,,,,,,,,,
Podium,Podium,T台,,,,,,,,,,,,,,,,
T-shirt,T-shirt,T恤,,,,,,,,,,,,,,,,
T-shirt bag,T-shirt bag,T恤包装袋,,,,,,,,,,,,,,,,
Travel pillow,Travel pillow,U型枕,,,,,,,,,,,,,,,,
VR headset,VR headset,VR头显,,,,,,,,,,,,,,,,
VR headset,VR headset,VR头盔,,,,,,,,,,,,,,,,
Vector,Vector,Vector机器人,,,,,,,,,,,,,,,,
Verdana,Verdana,Verdana,,,,,,,,,,,,,,,,
V-neck,V-neck,V领,,,,,,,,,,,,,,,,
One,One,一,,,,,,,,,,,,,,,,
Glass of juice,Glass of juice,一杯果汁,,,,,,,,,,,,,,,,
Basket of apples,Basket of apples,一篮苹果,,,,,,,,,,,,,,,,
Dime,Dime,一角,,,,,,,,,,,,,,,,
Clove,Clove,丁香,,,,,,,,,,,,,,,,
Lilac,Lilac,丁香,,,,,,,,,,,,,,,,
Seven,Seven,七,,,,,,,,,,,,,,,,
Heptagon,Heptagon,七边形,,,,,,,,,,,,,,,,
Septet,Septet,七重奏,,,,,,,,,,,,,,,,
Marigold,Marigold,万寿菊,,,,,,,,,,,,,,,,
Three,Three,三,,,,,,,,,,,,,,,,
Trident,Trident,三叉戟,,,,,,,,,,,,,,,,
Shamrock,Shamrock,三叶草,,,,,,,,,,,,,,,,
Clover,Clover,三叶草,,,,,,,,,,,,,,,,
Sandwich,Sandwich,三明治,,,,,,,,,,,,,,,,
Tripod,Tripod,三脚桌,,,,,,,,,,,,,,,,
Tripod lamp,Tripod lamp,三脚灯,,,,,,,,,,,,,,,,
Triangle yoga,Triangle yoga,三角式,,,,,,,,,,,,,,,,
Triangle,Triangle,三角形,,,,,,,,,,,,,,,,
Pennon,Pennon,三角旗,,,,,,,,,,,,,,,,
Trio,Trio,三重奏,,,,,,,,,,,,,,,,
Down dog yoga,Down dog yoga,下犬式,,,,,,,,,,,,,,,,
AND,AND,与门,,,,,,,,,,,,,,,,
NAND,NAND,与非门,,,,,,,,,,,,,,,,
Cupid,Cupid,丘比特,,,,,,,,,,,,,,,,
East,East,东,,,,,,,,,,,,,,,,
Ribbon,Ribbon,丝带,,,,,,,,,,,,,,,,
China flag,China flag,中国国旗,,,,,,,,,,,,,,,,
Viola,Viola,中提琴,,,,,,,,,,,,,,,,
Alto,Alto,中音长笛,,,,,,,,,,,,,,,,
Denmark flag,Denmark flag,丹麦国旗,,,,,,,,,,,,,,,,
Keep,Keep,主楼,,,,,,,,,,,,,,,,
Home,Home,主页,,,,,,,,,,,,,,,,
Cuttlefish,Cuttlefish,乌贼,,,,,,,,,,,,,,,,
Uruz,Uruz,乌鲁兹,,,,,,,,,,,,,,,,
Uluru,Uluru,乌鲁鲁巨石,,,,,,,,,,,,,,,,
Raven,Raven,乌鸦,,,,,,,,,,,,,,,,
Crow,Crow,乌鸦,,,,,,,,,,,,,,,,
Bakasana,Bakasana,乌鸦式,,,,,,,,,,,,,,,,
Raven origami,Raven origami,乌鸦折纸,,,,,,,,,,,,,,,,
Turtle,Turtle,乌龟,,,,,,,,,,,,,,,,
Tortoise,Tortoise,乌龟,,,,,,,,,,,,,,,,
Loafer,Loafer,乐福鞋,,,,,,,,,,,,,,,,
Band,Band,乐队,,,,,,,,,,,,,,,,
Lego,Lego,乐高,,,,,,,,,,,,,,,,
Times,Times,乘,,,,,,,,,,,,,,,,
Multiply,Multiply,乘,,,,,,,,,,,,,,,,
Nine,Nine,九,,,,,,,,,,,,,,,,
Hydra,Hydra,九头蛇,,,,,,,,,,,,,,,,
Menorah,Menorah,九烛台,,,,,,,,,,,,,,,,
Nonagon,Nonagon,九边形,,,,,,,,,,,,,,,,
Enneagon,Enneagon,九边形,,,,,,,,,,,,,,,,
Book,Book,书,,,,,,,,,,,,,,,,
Backpack,Backpack,书包,,,,,,,,,,,,,,,,
Stacks,Stacks,书堆,,,,,,,,,,,,,,,,
Bookstore,Bookstore,书店,,,,,,,,,,,,,,,,
Bookshelves,Bookshelves,书架,,,,,,,,,,,,,,,,
Bookcase,Bookcase,书柜,,,,,,,,,,,,,,,,
Desk,Desk,书桌,,,,,,,,,,,,,,,,
Desk lamp,Desk lamp,书桌灯,,,,,,,,,,,,,,,,
Book,Book,书籍,,,,,,,,,,,,,,,,
Fudge,Fudge,乳脂软糖,,,,,,,,,,,,,,,,
Cheese,Cheese,乳酪,,,,,,,,,,,,,,,,
Two,Two,二,,,,,,,,,,,,,,,,
Diode,Diode,二极管,,,,,,,,,,,,,,,,
CO2,CO2,二氧化碳,,,,,,,,,,,,,,,,
Duet,Duet,二重奏,,,,,,,,,,,,,,,,
Cloud,Cloud,云,,,,,,,,,,,,,,,,
Cloud,Cloud,云朵,,,,,,,,,,,,,,,,
Cloudy marble,Cloudy marble,云纹弹珠,,,,,,,,,,,,,,,,
Five,Five,五,,,,,,,,,,,,,,,,
Nickel,Nickel,五分,,,,,,,,,,,,,,,,
Confetti,Confetti,五彩纸屑,,,,,,,,,,,,,,,,
Pentacle,Pentacle,五角星,,,,,,,,,,,,,,,,
Pentagon,Pentagon,五边形,,,,,,,,,,,,,,,,
Quintet,Quintet,五重奏,,,,,,,,,,,,,,,,
Asia,Asia,亚洲,,,,,,,,,,,,,,,,
Flax,Flax,亚麻,,,,,,,,,,,,,,,,
Intersection,Intersection,交叉点,,,,,,,,,,,,,,,,
Dummy,Dummy,人台模特,,,,,,,,,,,,,,,,
Human,Human,人头,,,,,,,,,,,,,,,,
Chevron,Chevron,人字形,,,,,,,,,,,,,,,,
Flip-flops,Flip-flops,人字拖,,,,,,,,,,,,,,,,
Gable,Gable,人字顶,,,,,,,,,,,,,,,,
Yuan,Yuan,人民币,,,,,,,,,,,,,,,,
Human,Human,人类,,,,,,,,,,,,,,,,
Assault,Assault,人身侵犯,,,,,,,,,,,,,,,,
Satellite,Satellite,人造卫星,,,,,,,,,,,,,,,,
Soul patch,Soul patch,仁丹胡,,,,,,,,,,,,,,,,
Hamster,Hamster,仓鼠,,,,,,,,,,,,,,,,
Hamster wheel,Hamster wheel,仓鼠跑轮,,,,,,,,,,,,,,,,
Cacti,Cacti,仙人掌,,,,,,,,,,,,,,,,
Cactus,Cactus,仙人掌,,,,,,,,,,,,,,,,
Fairy,Fairy,仙女,,,,,,,,,,,,,,,,
Fairy,Fairy,仙子,,,,,,,,,,,,,,,,
Taskbar,Taskbar,任务栏,,,,,,,,,,,,,,,,
