key,ChineseSimplified,English
Level,关卡,Level
Japanese,日本語,Japanese
ChineseSimplified,简体中文,Simplified Chinese
ChineseTraditional,繁體中文,Traditional Chinese
English,English,English
Music,音乐,Music
Sounds,音效,Sound
Vibrate,振动,Vibration
LanguageSelection,语言选择,Language Selection
Settings,设定,Settings
PrivacyPolicy,隐私政策,Privacy Policy
TermsAndService,用户协议,Terms of Service
Victory,挑战成功！,Challenge Complete!
CompleteTheLevel,恭喜通关！,Level Complete!
TipGoldInsufficient,金币不足！,Not enough coins!
TipAllWordPrompted,所有词都已被提示！,All words have already been hinted!
ButtonGotIt,了解,Got It
StepCount,步数,Moves
Replay,重玩,Replay
GuidingTips01,将分类卡放入槽位，开启新的收集目标！,Place category cards into the slots to unlock new collection goals!
GuidingTips02,发现可收集的卡牌!将它移动到对应分类槽中。,A collectible card has appeared! Move it into the matching category slot.
GuidingTips03,"同类卡牌可以堆叠在一起,试试整理一下牌桌!",Cards of the same type can be stacked together. Try organizing the table!
GuidingTips04,"当前牌桌没有可移动的牌了,点牌堆翻一张新牌吧!",There are no movable cards on the table right now. Tap the deck to flip a new card!
GuidingTips05,"好运气!这张牌正好可以用,快拖进去!",Lucky you! This card fits perfectly. Drag it in now!
StepsExhausted,步数已用完！,No moves left!
ItemTips01,撤回成功，步数已返还！,Undo successful. Your move has been refunded!
GetCoins,获取金币,Get Coins
Reset,重置,Reset
ShopTips01,购买成功！,Purchase successful!
ShopTips02,购买失败！,Purchase failed!
Shop,商店,Shop
ADLoadingTips,广告加载中,Loading Ad...
ADPopTitle,获取金币,Get Coins
ADPopWatch,观看视频,Watch Video
ADPopReceive,领取,Claim
PrivacyAgreement02,如果您选择开始使用我们的应用，请点击「同意」,"If you choose to start using our app, please tap Agree."
PrivacyAgreement03,同意,Agree
PrivacyAgreement04,不同意,Disagree
PrivacyAgreement05,"根据相关法律法规以及为了保障您的个人权益,我们制定了<href=https://mindwordplay.cn/yhxyb>《用户协议》</href>和<href=https://mindwordplay.cn/ysxy>《隐私政策》</href>，只有您同意了这些条款，我们才能为您服务。我们会保障您的隐私安全，若您仍然不同意本隐私和协议,很遗憾我们将无法继续为您提供服务。 ","In accordance with relevant laws and regulations and to protect your personal rights and interests, we have prepared the <href=https://neoplaygame.com/terms-and-conditions>Terms of Service</href> and <href=https://neoplaygame.com/privacy-policy>Privacy Policy</href>. We can only provide services to you after you agree to these terms. We will protect your privacy and security. If you still do not agree to this privacy policy and agreement, unfortunately we will be unable to continue providing services to you. "
PrivacyAgreement06,再想想,Think Again
PrivacyAgreement07,拒绝并退出,Decline and Exit
EvaluateDes,您已解开很多个文字谜题，真是文字高手！✍️若觉得这词海探秘有趣，诚邀用★5为游戏添点墨香,"You have solved many word puzzles already. You are truly a word master! If you enjoy this word-filled adventure, please consider giving the game a 5-star rating."
PrivacyAgreement01,"欢迎来到「词语纸牌接龙」！
为了向您提供更优质的游戏体验与相关服务，我们需要收集和使用您的部分个人信息。
在您开启这段禅意之旅前，请知悉：
我们将严格遵守相关法律法规，保障您的个人信息安全。
我们可能会收集设备信息（如设备型号、操作系统版本）、网络信息、游戏日志、等，用于游戏功能实现、服务优化、安全保障、广告投放（如适用）及合规要求。
您可以查阅我们的<href=https://mindwordplay.cn/ysxy>《隐私政策》</href>了解详细信息，包括我们如何收集、使用、存储和保护您的信息，以及您的相关权利。
您也需要同意我们的<href=https://mindwordplay.cn/yhxyb>《用户协议》</href>以使用本游戏。
请您仔细阅读并理解以上内容。您的同意对我们至关重要。","Welcome to Word Card Solitaire!
To provide you with a better game experience and related services, we need to collect and use some of your personal information.
Before you begin this peaceful journey, please note:
We will strictly comply with relevant laws and regulations to protect the security of your personal information.
We may collect device information (such as device model and operating system version), network information, game logs, and more for game functionality, service optimization, security protection, advertising delivery (where applicable), and compliance requirements.
You can read our <href=https://neoplaygame.com/privacy-policy>Privacy Policy</href> for more details, including how we collect, use, store, and protect your information, as well as your related rights.
You also need to agree to our <href=https://neoplaygame.com/terms-and-conditions>Terms of Service</href> to use this game.
Please read and understand the above carefully. Your consent is very important to us."
